The School for Good and Evil,19-10-2022,Fantasy, English,750323829.8,137000000,AU,72
Monstrous,13-05-2022,"Horror, Mystery, Thriller", English,138450,6320000,US,60
Shrek 2,17-06-2004,"Animation, Family, Comedy, Fantasy, Adventure, Romance", English,935253978,70000000,AU,72
The Unbearable Weight of Massive Talent,21-04-2022,"Action, Comedy, Crime", English,29116320,30000000,AU,68
Fifty Shades Freed,17-01-2018,"Drama, Romance", English,371985018,55000000,AU,67
El tirabeque,25-11-2022,Comedy," Spanish, Castilian",38139010,15541000,ES,30
The Battle at Lake Changjin: Water Gate Bridge,11-02-2022,"War, History, Action, Drama", Chinese,626203271,200000000,AU,69
Spider-Man: Into the Spider-Verse,13-12-2018,"Action, Adventure, Animation, Science Fiction", English,375540831,90000000,AU,84
Harry Potter and the Deathly Hallows: Part 1,13-11-2010,"Adventure, Fantasy", English,954305868,250000000,AU,78
Emily the Criminal,08-06-2022,"Crime, Drama, Thriller", English,572201947,116200000,AU,68
Emergency Declaration,03-08-2022,"Action, Drama, Mystery, Thriller", Korean,19200000,18052672,KR,77
Blood,27-01-2023,"Thriller, Horror", English,297177664,107000000,US,58
Memory,05-07-2022,"Action, Thriller, Crime", English,11300000,63400000,AU,70
Orgasm Lecture 2,20-02-2020,Drama, Korean,1569323844,201000000,KR,100
Whisper,23-01-2022,"Horror, Thriller", English,211802400.4,20000,GB,64
The Shack,27-04-2017,"Drama, Fantasy", English,96860808,20000000,AU,75
Eternals,04-11-2021,"Science Fiction, Action, Adventure", English,401731759,200000000,AU,70
Doraemon: Nobita's Little Star Wars 2021,04-03-2022,"Animation, Science Fiction, Adventure", Japanese,590124290.8,109000000,JP,57
Dog,17-03-2022,"Drama, Comedy", English,84677678,15000000,AU,74
The Invitation,25-08-2022,"Horror, Thriller", English,354836,1000000,AU,64
The Conjuring: The Devil Made Me Do It,03-06-2021,"Horror, Mystery, Thriller", English,200266441,40000000,AU,75
3-D Sex and Zen: Extreme Ecstasy,14-04-2011,"Drama, Adventure, Romance, Action, History", Cantonese,10308238,3500000,HK,48
Control,23-09-2022,"Science Fiction, Thriller, Mystery", English,8902141,6400000,US,54
Mortal Kombat,22-04-2021,"Action, Fantasy, Adventure", English,83508259,55000000,AU,71
Mortal Kombat,22-04-2021,"Action, Fantasy, Adventure", English,122133227,20000000,AU,71
Pirates of the Caribbean: The Curse of the Black Pearl,11-09-2003,"Adventure, Fantasy, Action", English,655011224,140000000,AU,78
Clifford the Big Red Dog,30-12-2021,"Family, Adventure, Comedy, Fantasy", English,78418101,64000000,AU,72
Dragon Knight,21-03-2022,"Fantasy, Adventure, Action", English,526557525.4,149000000,GB,69
Cruella,27-05-2021,"Comedy, Crime", English,233503234,200000000,AU,81
The Suicide Squad,05-08-2021,"Action, Comedy, Adventure", English,167097737,185000000,AU,76
Drifting Home,16-09-2022,"Animation, Drama, Fantasy, Adventure", Japanese,583004188.8,119000000,JP,76
The Bad Guys,31-03-2022,"Animation, Action, Adventure, Crime, Comedy, Family", English,250659286,70000000,AU,77
The Remaining,05-09-2014,"Thriller, Horror", English,1169603,7270000,US,59
